customer_id,first_name,last_name,email,signup_date,country
984,Patricia,Davis,pdavis@yandex.com,2022-05-01,United States
1597,Oliver,Bhat,oliver.bhat@protonmail.com,2024-01-11,United States
1906,Lisa,Moore,lisa.moore@gmail.com,2020-03-06,United States
1708,Priya,Anderson,priya.anderson60@zoho.com,2020-03-10,United States
1012,Benjamin,Iyer,benjamin.iyer26@zoho.com,2020-05-05,United States
846,Karen,Martinez,karen_martinez@zoho.com,2022-02-08,India
620,Oliver,Desai,oliver.desai@zoho.com,2022-04-21,United States
269,Liam  ,Patel,liampat@hotmail.com,2022-02-07,India
648,Emma,White,emma.white@gmail.com,2024-06-21,Australia
161,Ella,Bhat,ebhat@mail.com,2022-05-24,India
1304,Oliver,Kumar, oliver_kumar@gmail.com,2023-02-18,Japan
599,Betty,Chopra,bettycho@aol.com,2022-11-15,United States
128,Ella,Kapoor,ellakap@yahoo.com,2022-10-26,United States
720,Lakshmi,Anderson,landerson@yahoo.com,2020-05-25,Australia
577,Aditi,  Nair  ,aditinai@zoho.com,2021-01-27,United Kingdom
1315,Neha,Sharma,neha_sharma@protonmail.com,2023-01-08,Germany
1832,  Arjun  ,Desai  ,arjun_desai@yahoo.com,2023-04-13,United States
794,Oliver,Williams,owilliams@yahoo.com,2022-03-28,United States
589,Harper  ,Agarwal,hagarwal@yandex.com,2024-10-24,India
1531,David,Jackson,davidjac@gmail.com,2022-02-21,India
623,Pooja,Agarwal,pooja.agarwal95@hotmail.com,2020-11-06,United Kingdom
1956,Sarah,Brown,sarah.brown69@yandex.com,2023-05-24,Canada
267,Benjamin,Iyer,benjamin.iyer@gmail.com,2022-02-24,India
933,Kavya,Walker,kavya.walker@mail.com,2021-05-24,India
1969,Betty,Thompson,betty.thompson@icloud.com,2021-10-31,United Kingdom
1240,Thomas,Jackson,thomasjac@icloud.com,2022-11-12,France
1205,Joseph,Jones,josephjon@yahoo.com,2024-01-26,France
1608,Jennifer,Wilson,jennifer_wilson@protonmail.com,2020-02-22,United States
1590,Evelyn,Davis,evelyn.davis16@yandex.com,2022-01-31,India
966,Rahul,Smith,rahul_smith@hotmail.com,2021-10-04,Germany
1286,Neha,Jones,njones@outlook.com,2020-01-01,United States
632,Betty,Young,betty.young84@gmail.com,2023-07-16,India
1780,John,Johnson,jjohnson@mail.com,2021-09-02,
1717,Sakshi,Mehta,sakshi_mehta@hotmail.com,2023-07-28,United States
844,Evelyn,Harris,evelynhar@hotmail.com,2020-04-30,India
442,Neha,lewis,neha.lewis@protonmail.com,2022-09-28,Australia
1600,Sandeep,Thompson,sandeeptho@gmail.com,2021-05-02,India
1339,William,Allen,william.allen1@gmail.com,2024-05-27,Canada
957,Tanvi,White,twhite@outlook.com,2021-06-03,United Kingdom
739,Lakshmi,  gupta,lakshmi.gupta@gmail.com,2022-07-18,Australia
298,John,Moore,john_moore@icloud.com,2023-08-27,United States
1875,Patricia,Pillai,patricia.pillai@yandex.com,2024-04-10,United States
731,Aditi,Brown,abrown@protonmail.com,2022-07-22,United States
1048,Riya,Thompson,riyatho@protonmail.com,2022-03-22,United States
897, Harper,Iyer,hiyer@protonmail.com,2021-05-10,South Korea
428,Ananya,Kapoor,ananyakap@zoho.com,2024-10-22,Canada
1143,Robert,Hall,not_an_email,2021-05-15,United Kingdom
405,Nancy,Verma,nancy.verma@outlook.com,2021-01-18,France
1712,Sneha,Taylor,sneha.taylor73@yandex.com,2022-07-06,United States
137,Richard,Wilson,richardwil@aol.com,2023-06-16,India
1127,Ella,Jackson,ellajac@yahoo.com,2024-07-18,Germany
1951,Harper,Allen,hallen@outlook.com,2022-05-12,Germany
1235,Siddharth,Allen,sallen@yahoo.com,2024-01-07,United States
495,Ella,Anderson,eanderson@zoho.com,2023-01-24,Australia
1625,Noah,Singh,noahsin@mail.com,2024-12-07,India
862,Robert,Gupta,robert.gupta@outlook.com,2024-09-11,India
1980,Abigail,Brown,abigail.brown91@outlook.com,2021-11-01,India
1081,Sandeep,Garcia,sgarcia@hotmail.com,2024-12-02,India
918,Emma,Smith,emmasmi@aol.com,2020-11-24,United States
1739,Sandeep,Bhat,sbhat@gmail.com,2021-07-12,Canada
291,Linda,Desai,ldesai@aol.com,2024-02-29,United States
190,Alexander,Bhat,alexanderbha@mail.com,2022-07-09,United States
20,Kavya,Miller,kavya_miller@yandex.com,2020-09-25,India
378,Riya,Young,riya_young@gmail.com,2023-11-27,India
131,Noah,Wilson,nwilson@zoho.com,2022-03-27,United States
859,Ananya,Wilson,ananya.wilson81@yandex.com,2020-03-19,United Kingdom
